Año,Lote,Tipo de Hidrocarburo,Producción,Inversion,Regalia,Canon,Reservas Probadas (P1),Reservas Probables (P2),Reservas Posibles (P3),Reservas Totales (3P),Recursos Contingentes (2C),Recursos Prospectivos (2U)
2022, IX,,,,2.26648512,,,,,,,
2023, IX,,,,1.95918986,,,,,,,
2024, IX,,,,1.89647592,,,,,,,
2025, IX,,,,0.77996126,,,,,,,
2021, X ,,,,83.08505148999998,,,,,,,
2022, X ,,,,146.77162223,,,,,,,
2023, X ,,,,95.03383828000001,,,,,,,
2024, X ,,,,82.03427352,,,,,,,
2025, X ,,,,34.05501501,,,,,,,
2021, XIII ,,,,10.69658797,,,,,,,
2022, XIII ,,,,22.36968052,,,,,,,
2023, XIII ,,,,17.71910989,,,,,,,
2024, XIII ,,,,16.0360207,,,,,,,
2025, XIII ,,,,6.720095420000001,,,,,,,
2021, XV ,,,,0.28901539,,,,,,,
2022, XV ,,,,0.38617518,,,,,,,
2023, XV ,,,,0.28591382,,,,,,,
2024, XV ,,,,0.23495005,,,,,,,
2025, XV ,,,,0.09214459,,,,,,,
2021, XX ,,,,0.0563658599999999,,,,,,,
2022, XX ,,,,0.0750061399999999,,,,,,,
2023, XX ,,,,0.06272768000000001,,,,,,,
2024, XX ,,,,0.07363092,,,,,,,
2025, XX ,,,,0.02484986,,,,,,,
2021, Z-1 ,,,,0.0,,,,,,,
2022, Z-1 ,,,,0.0,,,,,,,
2023, Z-1 ,,,,0.0,,,,,,,
2024, Z-1 ,,,,0.7165927900000001,,,,,,,
2025, Z-1 ,,,,0.42068616,,,,,,,
2021, Z-6 ,,,,0.0,,,,,,,
2022, Z-6 ,,,,0.0,,,,,,,
2023, Z-6 ,,,,0.0,,,,,,,
2024, Z-6 ,,,,0.0,,,,,,,
2025, Z-6 ,,,,0.0,,,,,,,
2021, Z-69,,,,28.52717983999996,,,,,,,
2022, Z-69,,,,35.98818557999996,,,,,,,
2023, Z-69,,,,26.80931480999996,,,,,,,
2024, Z-69,,,,34.29163163999999,,,,,,,
2025, Z-69,,,,11.1171233,,,,,,,
2021,107,,,1.24537511,,,,,,,,
2022,107,,,1.32351571,,,,,,,,
2023,107,,,1.42580012,,,,,,,,
2024,107,,,1.42165509,,,,,,,,
2025,107,,,0.33827871,,,,,,,,
2021,131,,,0.0,,,,,,,,
2022,131,,,0.0,,,,,,,,
2023,131,,,0.0,,,,,,,,
2024,131,,,0.0,,,,,,,,
2025,131,,,0.48611417,,,,,,,,
2021,31-C,,,7.99598961,5.54750706,2.463117469999999,,,,,,
2022,31-C,,,6.05394151,9.03913851,3.57185759999999,,,,,,
2023,31-C,,,5.03619295,8.82488943,3.643142299999999,,,,,,
2024,31-C,,,3.012531399999999,4.98183154,2.0168849,,,,,,
2025,31-C,,,0.11814574,1.03006043,0.33575894,,,,,,
2021,39,,,0.0,,,,,,,,
2022,39,,,0.0,,,,,,,,
2023,39,,,0.0,,,,,,,,
2024,39,,,0.0,,,,,,,,
2025,39,,,0.0,,,,,,,,
2021,56,,,21.41544431,,,,,,,,
2022,56,,,26.0599521,,,,,,,,
2023,56,,,48.33365227,,,,,,,,
2024,56,,,169.37503835,,,,,,,,
2025,56,,,40.2641929,,,,,,,,
2021,57,,,2.65028707,,,,,,,,
2022,57,,,25.80514071,,,,,,,,
2023,57,,,11.22153692,,,,,,,,
2024,57,,,24.94133079,,,,,,,,
2025,57,,,16.70799415,,,,,,,,
2021,58,,,28.38745787,,,,,,,,
2022,58,,,10.60624276,,,,,,,,
2023,58,,,9.540172980000001,,,,,,,,
2024,58,,,10.55452416,,,,,,,,
2025,58,,,2.39478854,,,,,,,,
2021,64,,,0.23137875,,,,,,,,
2022,64,,,0.6520958499999999,,,,,,,,
2023,64,,,2.16248062,,,,,,,,
2024,64,,,1.85920164,,,,,,,,
2025,64,,,0.70111793,,,,,,,,
2021,8,,,1.21017407,,,,,,,,
2022,8,,,0.0,,,,,,,,
2023,8,,,0.0,,,,,,,,
2024,8,,,0.0,,,,,,,,
2025,8,,,0.0,,,,,,,,
2021,88,,,79.45193987,,,,,,,,
2022,88,,,55.43775665,,,,,,,,
2023,88,,,60.28479316,,,,,,,,
2024,88,,,69.3327664,,,,,,,,
2025,88,,,12.60800302,,,,,,,,
2021,95,,,80.26317586,,,,,,,,
2022,95,,,93.07718577,,,,,,,,
